# ----------------------------------------
# scikit-learn.sourceforge.net
# Audience Overview
# 20110101-20220430
# ----------------------------------------

Month Index,Users
0000,0
0001,0
0002,0
0003,0
0004,291
0005,"1,744"
0006,"1,453"
0007,"2,906"
0008,"5,521"
0009,"4,649"
0010,"9,880"
0011,"6,684"
0012,"7,846"
0013,"12,495"
0014,"13,367"
0015,"14,820"
0016,"13,948"
0017,"12,786"
0018,"17,145"
0019,"15,111"
0020,"14,239"
0021,"23,538"
0022,"29,350"
0023,"30,803"
0024,"27,025"
0025,"35,161"
0026,"38,358"
0027,"46,785"
0028,"42,426"
0029,"28,478"
0030,"31,384"
0031,"38,358"
0032,"53,759"
0033,"50,563"
0034,"73,229"
0035,"75,553"
0036,"84,852"
0037,"82,237"
0038,"91,826"
0039,"82,527"
0040,"96,766"
0041,"90,955"
0042,"84,562"
0043,"88,049"
0044,"102,288"
0045,"111,586"
0046,"127,569"
0047,"105,193"
0048,"140,645"
0049,"120,595"
0050,"161,568"
0051,"164,764"
0052,"148,782"
0053,"154,884"
0054,"144,423"
0055,"121,757"
0056,"156,628"
0057,"190,627"
0058,"217,361"
0059,"205,447"
0060,"194,695"
0061,"195,857"
0062,"247,873"
0063,"251,069"
0064,"254,847"
0065,"259,787"
0066,"240,608"
0067,"255,719"
0068,"268,214"
0069,"323,717"
0070,"356,263"
0071,"299,307"
0072,"313,837"
0073,"327,204"
0074,"433,560"
0075,"433,269"
0076,"430,944"
0077,"412,347"
0078,"399,270"
0079,"429,201"
0080,"441,987"
0081,"536,428"
0082,"552,992"
0083,"504,754"
0084,"515,797"
0085,"559,094"
0086,"645,981"
0087,"647,434"
0088,"627,674"
0089,"550,377"
0090,"546,309"
0091,"523,352"
0092,"602,973"
0093,"678,817"
0094,"722,406"
0095,"623,896"
0096,"682,886"
0097,"688,407"
0098,"767,738"
0099,"811,617"
0100,"760,764"
0101,"684,629"
0102,"728,508"
0103,"673,006"
0104,"716,013"
0105,"804,933"
0106,"885,136"
0107,"755,824"
0108,"731,705"
0109,"826,146"
0110,"880,487"
0111,"915,357"
0112,"967,082"
0113,"880,196"
0114,"808,130"
0115,"780,814"
0116,"845,325"
0117,"961,271"
0118,"992,654"
0119,"924,366"
0120,"847,941"
0121,"831,958"
0122,"1,022,585"
0123,"1,076,925"
0124,"971,441"
0125,"918,263"
0126,"860,436"
0127,"806,967"
0128,"954,296"
0129,"1,056,875"
0130,"1,112,668"
0131,"997,304"
0132,"917,101"
0133,"946,160"
0134,"1,142,598"
0135,"1,050,191"
,"54,450,108"
